lon,lat
180.000000,68.993778
180.000000,65.032618
179.859889,64.993694
179.525028,64.794556
179.293333,64.783722
179.128333,64.753750
178.771583,64.619583
178.544944,64.560389
178.514917,64.582944
178.645028,64.588722
178.850694,64.658333
178.758278,64.677083
178.581667,64.649556
178.263250,64.632028
178.240833,64.639167
178.330806,64.639139
178.310056,64.660417
178.136583,64.666222
178.009944,64.637056
178.030889,64.663306
177.991667,64.680417
177.703361,64.688722
177.665806,64.698306
177.608306,64.758722
177.527472,64.760000
177.560778,64.777500
177.546667,64.798750
177.455028,64.792889
177.404139,64.814972
177.498278,64.821250
177.539194,64.844972
177.489139,64.855861
177.521583,64.926222
177.503333,64.910389
177.273306,64.917111
177.264056,64.834139
177.342444,64.808306
177.073278,64.752889
177.036611,64.780417
176.965750,64.781639
176.964222,64.817472
176.916556,64.835417
176.829917,64.821194
176.789889,64.842083
176.684972,64.853750
176.551694,64.797056
176.449917,64.793722
176.438389,64.847083
176.241722,64.884556
176.213306,64.907083
176.126639,64.910417
176.100806,64.924972
176.118306,64.938750
176.058278,64.937861
175.914167,64.867500
175.924111,64.836639
175.889056,64.812500
175.728361,64.749611
175.674917,64.747944
175.594917,64.775417
175.363306,64.735417
175.250028,64.744556
175.142556,64.722444
175.336639,64.702861
175.528278,64.745417
175.699917,64.732944
175.845000,64.761222
175.861611,64.782889
175.940000,64.799528
175.965833,64.830833
176.004222,64.834944
176.003333,64.887889
176.056583,64.898722
176.221611,64.879611
176.244139,64.822472
176.284056,64.810000
176.367389,64.711639
176.408222,64.707889
176.439111,64.683306
176.359889,64.639583
176.263306,64.634583
176.182528,64.608333
176.147528,64.560833
176.084083,64.532472
176.049083,64.473333
176.071611,64.447083
176.145778,64.476667
176.154056,64.550000
176.239139,64.605833
176.368306,64.597917
176.440833,64.621667
176.481639,64.667917
176.538278,64.668722
176.679111,64.624167
176.758278,64.533750
176.835806,64.557500
176.864111,64.594972
177.086583,64.707917
177.226722,64.706250
177.351583,64.752889
177.508278,64.741278
177.534083,64.731667
177.479222,64.659139
177.495889,64.631611
177.450861,64.608278
177.409083,64.514167
177.497556,64.396667
177.605833,64.349139
177.617389,64.326639
177.626639,64.339611
177.653250,64.332056
177.836667,64.236194
177.984972,64.202056
178.214972,64.186222
178.117500,64.226667
178.251611,64.274583
178.330778,64.325861
178.259972,64.406222
178.235833,64.379194
178.234028,64.433333
178.649167,64.024972
178.582417,64.033306
178.607444,64.045778
178.586611,64.061222
178.528333,64.061222
178.481667,64.030361
178.418250,64.033750
178.383278,64.004556
178.421611,64.027889
178.452472,64.024167
178.390028,63.996250
178.249944,63.979556
178.209083,63.946611
178.309972,63.947056
178.363306,63.986250
178.396611,63.982889
178.445000,64.002861
178.480806,63.975000
178.434972,63.981278
178.388333,63.967944
178.426583,63.977083
178.490028,63.965389
178.528278,63.977083
178.653278,63.949583
178.661556,63.925389
178.663333,63.935389
178.696722,63.927889
178.654944,64.012889
178.757417,63.815833
178.797444,63.605806
178.761694,63.637889
178.653278,63.657056
178.639917,63.672028
178.619139,63.656667
178.645806,63.631667
178.744972,63.622917
178.780889,63.598306
178.767417,63.580000
178.756556,63.602889
178.663306,63.569556
178.591611,63.634556
178.544167,63.629139
178.547444,63.590806
178.509111,63.580000
178.636583,63.576250
178.651639,63.557889
178.733278,63.563722
178.736722,63.550389
178.672389,63.543361
178.670833,63.523306
178.743306,63.545417
178.747472,63.514972
178.797444,63.500000
178.704139,63.482500
178.764972,63.480389
178.759917,63.456222
178.745028,63.467056
178.716611,63.456250
178.680876,63.468505
178.676611,63.492917
178.635806,63.482500
178.670750,63.478333
178.732556,63.405833
178.783306,63.412028
178.780028,63.400389
178.731694,63.391250
178.694889,63.425417
178.659083,63.419972
178.654972,63.399556
178.619194,63.405000
178.716556,63.374556
178.843333,63.413722
178.894111,63.414139
178.860861,63.414139
178.800778,63.512500
178.801611,63.596222
178.872472,63.449167
179.055833,63.281639
