station lon lat east_vel north_vel up_vel
000843 134.04954669711648 35.174887007614544 3.558237648010254 -0.11119494438171387 0.0009532739999997375
010844 140.81054264588744 40.83440299266197 5.00377197265625 -3.3136088371276857 0.0010341016999994678
010845 140.32440608399125 37.36182224068101 10.229933166503907 -0.978515338897705 0.0014807659999974021
020847 137.86876359234756 35.160451182707114 2.335093307495117 -0.10007553100585938 0.0009371380000004592
020888 140.01177806424934 42.68533493428772 2.6686779022216798 -2.0237476348876955 0.0014675159000006488
020892 140.92933456661015 41.74058994678514 2.557483100891113 -1.83471622467041 0.00037694769999987445
020893 140.53502856530255 41.711322961702635 3.224652862548828 -2.0237476348876955 0.0010984731000000636
020894 141.09446916897068 41.46615755880059 3.002263069152832 -2.32397403717041 0.001006678299999919
020895 140.9838166604259 41.1996606883443 3.66943244934082 -2.6909173011779783 0.0014671047999996745
020896 141.38569568798167 41.16093098675579 3.0022628784179686 -2.3128544807434084 0.00040832569999977865
020897 140.2935326695265 41.12172020619298 4.336602020263672 -2.590841770172119 0.0019678394000010257
020898 140.01100015308137 40.73062983076556 4.558992004394531 -3.4470428466796874 -3.335199999980887e-05
020899 141.10602877244762 40.57997601632229 5.337356185913086 -4.592350482940674 -0.0008304970000011736
020902 140.941597776802 40.44762753820635 6.560500907897949 -4.859218311309815 -6.885599999577608e-05
020903 141.48487258904467 40.271036318254545 7.227670097351075 -4.81474027633667 -0.0001414539999984754
020904 141.0464660298588 40.10673961584258 9.117984008789062 -6.4159472465515135 4.490399999781403e-05
020905 141.66219077264347 39.97094932499905 10.785907745361328 -4.536753082275391 0.0016978059999985362
020907 141.42614790728115 39.63935935269238 14.677730178833007 -5.493029308319092 0.0012156839999988734
020908 140.836336163078 39.55444785697545 13.232196235656739 -6.393708229064941 0.002245045999995909
020909 141.29302353560774 39.4646829818207 14.455340576171874 -5.98228702545166 0.0018014109999995754
020910 141.31169991542856 39.23536375504552 17.235213661193846 -5.782136154174805 0.0036767810000014832
020911 141.40088691687677 39.01209543697207 17.679993629455566 -4.703545379638672 0.002751656999998886
020912 141.14855297797922 38.9954528943302 16.679238891601564 -4.848098850250244 0.0031379139999984317
020913 140.83321097745167 38.93402150788125 14.7889253616333 -4.9815326690673825 0.0013849050000089846
020914 141.31790036285625 38.74320849098058 17.124018669128418 -4.67018690109253 0.004210816100000158
020915 141.00436605264827 38.68612563675114 16.23445930480957 -4.42555799484253 0.002927008999999714
020916 141.1607545217336 38.66061947757262 16.790433883666992 -4.158690357208252 0.0020925769999998066
020917 140.72774933355765 38.57180434939306 14.566535377502442 -3.7027910232543944 0.0009310909999982186
020918 141.30443631064907 38.509832591649946 15.567289733886719 -4.036375856399536 0.0034998786000002722
020919 140.94370151702577 38.17711654997792 14.677730178833007 -3.9585393905639648 0.004226241200000658
020920 140.7276895615747 37.824596391646836 12.898611640930175 -2.7465147018432616 0.0016914640000038617
020921 140.02757345303453 40.3393920822745 6.782890129089355 -4.214287757873535 0.00047997220000013386
